customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5024-UBMQG,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,1212.17,No
7898-UTLYM,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),83.18,2003.09,No
3636-PTBNR,Male,0,No,No,60,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.23,3249.33,No
9899-SPXRJ,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,454.67,No
5448-CDCAK,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,89.09,2929.96,No
2801-TLQDQ,Female,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,154.8,Yes
5113-JTTSW,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.82,3322.15,No
2104-BUSLY,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,63.09,373.08,Yes
5947-RDUMD,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.21,589.67,No
5050-XRMCM,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.6,1400.82,No
5946-PBJTA,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),75.42,2205.08,No
5063-ZGLBT,Male,0,Yes,No,67,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,55.51,3727.33,No
3307-TUZBQ,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.18,2854.15,No
8530-VYBCW,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.07,4662.24,No
5132-YUDZT,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.64,1152.28,Yes
4649-PYTUA,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,70.25,2535.98,No
4202-URCAJ,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.33,3062.32,No
8396-TMHTK,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.31,104.13,No
5695-BZQUL,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,468.35,No
8361-EPJUT,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,90.21,1185.23,No
8082-GXTMP,Female,1,Yes,No,7,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.24,345.44,No
1476-VPSFS,Male,0,Yes,No,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),62.71,1440.35,No
9088-LGMSZ,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.83,908.46,Yes
1266-KATRC,Female,1,Yes,No,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,89.6,4291.74,No
9666-KQKGQ,Female,0,No,No,62,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,77.17,4781.77,Yes
4076-VKEFD,Female,0,No,No,25,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),56.09,1389.18,No
7236-AWTSN,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,54.01,502.93,Yes
8423-PPEJR,Female,0,No,Yes,57,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),61.19,3486.32,No
2703-FXNHB,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),79.02,1028.54,Yes
2851-WSGXK,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,84.07,6048.99,Yes
7646-WCUZT,Male,0,Yes,Yes,70,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,60.07,4196.61,No
1548-GDRSR,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,705.21,No
8625-ZAJEP,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,74.46,2223.38,No
9796-BCTFE,Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),82.6,4056.89,Yes
8900-NNRWR,Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.02,1148.86,Yes
6248-ZLLYQ,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,51.14,3615.59,No
8863-PSPGQ,Female,1,Yes,No,50,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,57.08,2857.05,No
8034-YFLMJ,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,78.99,1101.9,Yes
8339-WMWPK,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),62.12,2317.75,No
5748-QWRMX,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,83.12,5836.8,No
